Produzione di Rifiuti Urbani nella Regione Veneto - Anno 2015;;;;;;;;;;;;;;;;;;;
Bacino;Comune; Popolazione (n°); FORSU (kg); VERDE (kg); VETRO (kg); CARTA E CARTONE (kg); PLASTICA (kg);IMBALLAGGI METALLICI (kg);RAEE (kg); MULTIMATERIALE (kg); ALTRO RECUPERABILE (kg); RIFIUTI PARTICOLARI (kg);INGOMBRANTI (KG);SPAZZAMENTO (kg);CER 200301 - 200203 (kg); RIFIUTO TOTALE (kg); % RD (DGRV 288/14);UTENZE COMP. DOM. (n°);
;Negrar; 17.104 ; 1.147.370 ; 822.800 ; 662.120 ; 833.190 ; 3.000 ;; 63.903 ; 496.360 ; 300.030 ; 22.648 ; 304.750 ; 200.000 ; 842.080 ; 5.698.251 ; 79,1 ; 913 ;
;Pastrengo; 3.092 ; 186.630 ; 272.520 ; 93.120 ; 167.140 ;;; 17.281 ; 79.400 ; 108.066 ; 7.831 ; 77.100 ; 70.890 ; 279.480 ; 1.359.458 ; 72,6 ; 165 ;
;Pescantina; 17.128 ; 1.432.300 ; 850.520 ; 601.740 ; 830.240 ;;; 62.443 ; 471.620 ; 395.761 ; 23.316 ; 405.420 ; 145.010 ; 974.420 ; 6.192.790 ; 77,9 ; 19 ;
;Peschiera del Garda; 10.323 ; 1.630.140 ; 1.884.350 ; 924.630 ; 976.020 ;;; 68.685 ; 525.490 ; 275.310 ; 14.872 ; 339.840 ; 23.300 ; 3.053.940 ; 9.716.577 ; 65,5 ; 107 ;
;Povegliano Veronese; 7.113 ; 502.840 ; 342.730 ; 258.450 ; 369.950 ;;; 32.643 ; 189.920 ; 201.520 ; 11.348 ; 122.960 ; 138.100 ; 420.160 ; 2.590.621 ; 77,4 ; 612 ;
;Rivoli Veronese; 2.181 ; 171.270 ; 103.880 ; 90.860 ; 92.780 ;;; 9.449 ; 62.680 ; 61.568 ; 2.923 ; 37.940 ; 61.190 ; 99.290 ; 793.830 ; 80,0 ;;
;Roncà; 3.807 ; 257.640 ; 31.340 ; 162.030 ; 146.210 ; 34.670 ;; 18.659 ; 36.880 ; 142.912 ; 6.810 ; 151.740 ; 8.160 ; 255.960 ; 1.253.011 ; 70,4 ; 159 ;
;Roverè Veronese; 2.115 ; 114.345 ;; 79.293 ; 83.563 ;;; 7.677 ; 52.579 ; 14.568 ; 410 ; 26.195 ; -   ; 507.990 ; 886.620 ; 39,2 ; 148 ;
;San Bonifacio; 21.284 ; 2.076.760 ; 1.033.960 ; 884.420 ; 1.520.080 ; 82.380 ;; 104.480 ; 726.630 ; 726.545 ; 17.503 ; 319.460 ; 438.260 ; 1.790.530 ; 9.721.008 ; 73,0 ; 912 ;
;San Giovanni Ilarione; 5.113 ; 374.590 ; 64.340 ; 143.500 ; 211.870 ; 33.650 ;; 22.679 ; 124.040 ; 77.240 ; 6.338 ; 89.020 ; 13.280 ; 261.320 ; 1.421.867 ; 75,9 ; 28 ;
;San Martino Buon Albergo; 14.920 ; 1.607.840 ; 795.960 ; 525.030 ; 790.070 ;;; 61.893 ; 429.170 ; 501.743 ; 15.830 ; 290.820 ; 253.860 ; 1.264.300 ; 6.536.516 ; 75,1 ; 552 ;
;San Mauro di Saline; 582 ; 31.465 ;; 21.820 ; 22.995 ;;; 2.113 ; 14.469 ; 4.009 ; 113 ; 7.208 ; -   ; 139.787 ; 243.979 ; 39,2 ; 148 ;
;San Pietro in Cariano; 12.906 ; 1.407.950 ; 901.000 ; 525.480 ; 741.500 ; 12.720 ;; 51.266 ; 375.160 ; 353.535 ; 17.862 ; 209.600 ; 119.180 ; 727.530 ; 5.442.783 ; 82,3 ; 841 ;
;San Zeno di Montagna; 1.365 ; 257.960 ; 59.600 ; 161.090 ; 89.740 ;;; 16.887 ; 41.200 ; 61.160 ; 3.852 ; 36.030 ; 75.290 ; 189.560 ; 992.369 ; 74,7 ;;
;Sant'Ambrogio di Valpolicella; 11.737 ; 988.340 ; 884.910 ; 408.160 ; 521.160 ; 21.220 ;; 42.431 ; 276.520 ; 234.140 ; 16.648 ; 165.220 ; 201.310 ; 720.260 ; 4.480.319 ; 78,8 ; 292 ;
;Sant'Anna d'Alfaedo; 2.553 ;; 6.720 ; 94.280 ; 109.640 ;;; 9.030 ; 49.090 ; 30.170 ; 2.032 ; 20.440 ; -   ; 802.550 ; 1.123.952 ; 26,9 ;;
;Selva di Progno; 931 ; 63.600 ;; 68.960 ; 47.840 ;;; 1.605 ; 22.080 ; 22.800 ; 1.162 ; 13.180 ; -   ; 219.600 ; 460.827 ; 48,3 ;;
;Soave; 7.114 ; 720.960 ; 255.360 ; 303.860 ; 352.510 ;;; 25.387 ; 207.410 ; 130.838 ; 6.782 ; 206.820 ; 141.080 ; 502.890 ; 2.853.897 ; 74,4 ;;
;Sommacampagna; 14.821 ; 968.020 ; 1.535.810 ; 704.150 ; 889.700 ; 408.721 ;; 95.710 ; 361.350 ; 586.681 ; 21.507 ; 176.016 ; 222.380 ; 861.300 ; 6.831.345 ; 81,2 ; 501 ;
;Sona; 17.683 ; 1.163.640 ; 1.143.380 ; 591.470 ; 994.680 ; 19.450 ;; 80.803 ; 512.260 ; 406.774 ; 21.592 ; 139.460 ; 209.580 ; 1.251.420 ; 6.534.509 ; 77,2 ; 910 ;
;Torri del Benaco; 3.023 ; 413.530 ; 253.370 ; 321.530 ; 189.380 ;;; 13.073 ; 130.010 ; 6.964 ; 5.086 ; 55.300 ; 100.720 ; 666.020 ; 2.154.983 ; 64,7 ;;
;Tregnago; 4.938 ; 464.180 ; 152.840 ; 190.120 ; 274.980 ;;; 20.925 ; 126.170 ; 113.792 ; 4.511 ; 73.840 ; 20.900 ; 568.490 ; 2.010.748 ; 68,1 ;;
;Valeggio sul Mincio; 15.098 ; 1.207.030 ; 1.178.890 ; 653.440 ; 947.880 ;;; 65.377 ; 379.390 ; 372.098 ; 24.152 ; 197.200 ; 252.810 ; 2.143.590 ; 7.421.857 ; 67,3 ; 563 ;
;Velo Veronese; 770 ; 41.629 ;; 28.868 ; 30.422 ;;; 2.795 ; 19.142 ; 5.304 ; 149 ; 9.537 ; -   ; 184.942 ; 322.788 ; 39,2 ; 148 ;
;Vestenanova; 2.608 ; 152.360 ;; 99.880 ; 99.440 ;;; 12.455 ; 67.250 ; 40.966 ; 879 ; 81.810 ; -   ; 272.230 ; 827.270 ; 59,4 ; 51 ;
;Villafranca di Verona; 33.194 ; 3.341.240 ; 1.721.080 ; 1.260.640 ; 1.984.320 ; 26.730 ;; 129.974 ; 1.009.300 ; 751.165 ; 25.664 ; 747.480 ; 484.270 ; 2.665.740 ; 14.147.603 ; 75,0 ; 13 ;
VERONA NORD Totale;; 416.853 ; 39.079.709 ; 27.233.710 ; 19.364.541 ; 24.373.700 ; 719.171 ;; 1.915.838 ; 12.509.235 ; 11.124.709 ; 520.879 ; 8.055.336 ; 5.967.560 ; 47.366.369 ; 198.230.757 ; 70,9 ; 11.127 ;
VERONA CITTA';Verona; 260.200 ; 21.056.060 ; 2.472.700 ; 9.132.340 ; 16.932.740 ; 581.920 ; 22.310 ; 496.000 ; 7.249.380 ; 3.694.990 ; 139.765 ; 6.526.630 ; 4.734.750 ; 60.674.220 ; 133.713.805 ; 48,13 ; 790 ;
VERONA CITTA' Totale;; 260.200 ; 21.056.060 ; 2.472.700 ; 9.132.340 ; 16.932.740 ; 581.920 ; 22.310 ; 496.000 ; 7.249.380 ; 3.694.990 ; 139.765 ; 6.526.630 ; 4.734.750 ; 60.674.220 ; 133.713.805 ; 48,13 ; 790 ;
Totale complessivo;; 4.919.418 ; 400.881.292 ; 288.553.484 ; 127.027.531 ; 283.495.028 ; 17.119.172 ; 148.504 ; 22.319.102 ; 213.510.179 ; 97.266.971 ; 6.248.600 ; 73.851.204 ; 53.785.022 ; 606.868.782 ; 2.191.074.871 ; 66,5 ; 347.227 ;
