DESTRAPIAVE;Borso Del Grappa;5924;410911;245387;214160;227405;9367;-;45368;216796;138357;12213;101865;37879;188939;1848647;84.2;756;
DESTRAPIAVE;Breda Di Piave;7851;453313;474600;21200;335367;44948;-;56312;465238;283303;10814;124385;42487;238498;2550465;85.2;1121;
DESTRAPIAVE;Caerano Di San Marco;8017;704377;347878;250480;379147;15764;-;47939;246671;144561;12301;93580;44971;230015;2517684;86.6;534;
DESTRAPIAVE;Carbonera;11189;699809;793832;19300;491073;53995;-;53441;637450;408864;14930;136520;60398;367110;3736722;85.3;1254;
DESTRAPIAVE;Casale Sul Sile;13018;990384;792980;26880;593935;54008;-;63333;728281;358560;17081;139390;73901;547969;4386702;83.1;767;
DESTRAPIAVE;Casier;11341;942253;753407;29980;580093;67567;-;76578;633284;362105;15564;199175;59321;482160;4201487;83.6;581;
DESTRAPIAVE;Castelcucco;2215;148616;151452;66070;91922;6886;-;21420;67840;67628;3757;34495;13156;39564;712806;89.6;259;
DESTRAPIAVE;Castelfranco Veneto;33234;3198695;2116235;1067595;1812567;48849;-;256985;1527129;815712;47007;381035;417424;1904356;13593589;81.6;1786;
DESTRAPIAVE;Castello Di Godego;7177;515544;189933;232975;318144;12917;-;37512;238065;206107;14408;126950;42269;250551;2185375;83.0;946;
DESTRAPIAVE;Cavaso Del Tomba;2960;190091;69716;105440;104248;6188;-;18053;111058;67732;3605;29900;16785;194238;917054;74.3;469;
DESTRAPIAVE;Cornuda;6267;622157;329984;226680;320350;13012;-;39173;208504;154198;7863;73010;44187;254390;2293508;84.9;549;
DESTRAPIAVE;Crespano Del Grappa;4520;384732;195850;140430;210636;9138;-;41679;120445;184316;6334;70520;32158;188759;1584997;83.8;425;
DESTRAPIAVE;Crocetta Del Montello;6080;435381;207798;210460;265814;7890;-;35936;200529;141399;7702;71595;38184;265644;1888332;81.3;715;
DESTRAPIAVE;Fonte;5923;450143;277817;195640;248774;12239;-;34821;202508;115710;7725;66855;37324;193503;1843059;84.9;565;
DESTRAPIAVE;Giavera Del Montello;5142;292254;202762;9580;230844;27406;-;22450;330356;132858;8488;59431;29052;191283;1536764;82.3;755;
DESTRAPIAVE;Istrana;9299;615865;388595;290390;391587;16175;-;48993;276298;175141;9966;123250;52363;301621;2690244;83.9;950;
DESTRAPIAVE;Loria;9310;583606;182165;289655;345883;12724;-;41133;316063;155321;11126;105235;61623;269290;2373824;83.0;1139;
DESTRAPIAVE;Maser;5070;364840;334332;154300;190696;10047;-;33451;153612;131275;10886;69005;31057;166743;1650244;85.4;727;
DESTRAPIAVE;Maserada Sul Piave;9380;625278;559311;22940;368823;31153;-;47310;609559;250574;11595;66180;54640;366416;3013779;83.6;1096;
DESTRAPIAVE;Monastier Di Treviso;4276;442974;403231;31930;222104;37194;-;42957;279895;198706;8602;64200;22740;280433;2034966;82.6;395;
DESTRAPIAVE;Monfumo;1398;101688;21593;53300;64904;2525;-;12244;40303;34825;2157;17095;3917;42151;396702;85.1;294;
DESTRAPIAVE;Montebelluna;31228;2615033;1921348;952055;1684250;49221;-;185654;1197176;680973;43628;401355;386998;1452840;11570531;82.7;2179;
DESTRAPIAVE;Morgano;4487;263565;293344;17710;212695;31069;-;35242;256135;152990;7416;78430;26742;136379;1511717;85.7;673;
DESTRAPIAVE;Nervesa Della Battaglia;6789;379374;286065;34620;304806;39329;-;49023;485475;177833;9898;104190;65918;273984;2210515;81.4;1363;
DESTRAPIAVE;Paderno Del Grappa;2192;175316;78533;94355;157681;3138;-;17608;59028;57016;2756;35225;16479;72881;770016;86.0;287;
DESTRAPIAVE;Paese;21969;1568630;1480962;31400;973472;78135;-;84956;1323035;445601;25148;188235;137564;854724;7191862;83.6;1701;
DESTRAPIAVE;Pederobba;7451;690574;363170;217275;325002;14275;-;56411;222785;187869;9673;138050;43922;373230;2642236;81.1;934;
DESTRAPIAVE;Ponzano Veneto;12540;862394;774251;23680;527602;47476;-;66487;745919;285174;13795;132400;68041;498366;4045585;83.0;1258;
DESTRAPIAVE;Possagno;2177;152630;90996;97005;106301;3663;-;17110;88613;42897;3419;25990;11879;80529;721032;84.2;275;
DESTRAPIAVE;Povegliano;5251;277501;244946;12500;226108;23859;-;29290;339411;149271;8536;56339;30070;167216;1565047;83.8;747;
DESTRAPIAVE;Preganziol;16749;1422390;1132428;20550;808547;49087;-;70453;1035336;344397;21617;149860;101034;610257;5765956;85.0;914;
DESTRAPIAVE;Quinto Di Treviso;9844;791128;644440;16980;512228;49781;-;71035;630517;299882;13305;142645;67165;391881;3630987;84.4;938;
DESTRAPIAVE;Resana;9522;694060;168959;304550;354742;13955;-;56270;303443;211153;12369;116120;55837;306651;2598109;83.0;1159;
DESTRAPIAVE;Riese Pio X;11067;773201;319810;358675;413053;20110;-;52595;347329;225619;13589;111310;87496;355756;3078543;83.5;1104;
DESTRAPIAVE;Roncade;14369;978954;1010852;30550;739685;41209;-;63219;846845;483195;16380;143605;77676;548436;4980606;85.4;1792;
DESTRAPIAVE;San Biagio Di Callalta;12950;929651;902348;26400;608701;77398;-;67203;771372;484141;16837;175020;72371;437541;4568983;86.2;1371;
DESTRAPIAVE;San Zenone Degli Ezzelini;7437;491314;253440;222895;278835;12754;-;51452;195129;138544;11936;90170;42156;201775;1990400;85.0;692;
DESTRAPIAVE;Silea;10171;971977;681753;21160;719630;55227;-;49442;683342;316804;14154;119420;67008;753228;4453145;79.3;817;
DESTRAPIAVE;Spresiano;12176;1000106;853251;19720;549314;47112;-;63749;745714;319100;15550;119870;97834;552085;4383405;82.7;1030;
DESTRAPIAVE;Susegana;11835;990384;874769;34620;709390;85655;-;60563;752088;353985;17127;159705;68632;619366;4726284;83.3;1392;
